operation_id,work_date,facility_id,shift_id,forecast_orders,actual_orders,planned_fte,planned_contract,absent_fte,absent_contract,present_fte,present_contract,overtime_hours,capacity_orders,processed_orders,backlog_orders,paid_hours,productive_hours,actual_productivity_per_hour,capacity_utilization,absence_rate,labour_cost_inr,cost_per_processed_order
173,2026-05-12,FC_KOL,S2,2067,1938,20,7,0,0,20,7,0,2312.5,1938,0,216.0,194.4,9.97,0.8381,0.0,36148.88,18.65
174,2026-05-12,FC_KOL,S3,1380,1399,16,5,2,0,14,5,0,1515.5,1399,0,168.0,136.8,10.23,0.9231,0.0952,29928.8,21.39
175,2026-05-12,FC_MUM,S1,2619,2435,24,8,1,0,23,8,0,2852.6,2435,0,256.0,223.2,10.91,0.8536,0.0312,46080.0,18.92
176,2026-05-12,FC_MUM,S2,2688,2949,25,9,0,1,25,8,4,2955.3,2949,0,276.0,241.6,12.21,0.9979,0.0294,51627.72,17.51
177,2026-05-12,FC_MUM,S3,1776,1827,18,7,1,0,17,7,0,2068.3,1827,0,200.0,172.8,10.57,0.8833,0.04,39784.8,21.78
178,2026-05-12,FC_HYD,S1,1981,2015,16,6,1,1,15,5,15,2016.1,2015,0,191.0,159.0,12.67,0.9995,0.0909,33053.0,16.4
179,2026-05-12,FC_HYD,S2,2417,2515,21,8,1,1,20,7,11,2515.6,2515,0,243.0,205.4,12.24,0.9998,0.069,42700.71,16.98
180,2026-05-12,FC_HYD,S3,1541,1552,15,5,1,0,14,5,0,1737.8,1552,0,160.0,136.8,11.35,0.8931,0.05,29304.0,18.88
181,2026-05-13,FC_BLR,S1,2578,2561,21,8,1,0,20,8,0,2585.2,2561,0,232.0,201.6,12.7,0.9906,0.0345,40176.0,15.69
182,2026-05-13,FC_BLR,S2,3167,3122,27,9,3,1,24,8,30,3123.1,3122,0,318.0,260.4,11.99,0.9996,0.1111,58895.4,18.86
183,2026-05-13,FC_BLR,S3,2024,2053,20,7,1,1,19,6,0,2070.8,2053,0,216.0,180.0,11.41,0.9914,0.0741,41043.2,19.99
184,2026-05-13,FC_DEL,S1,2961,2724,27,9,3,3,24,6,4,2726.8,2724,0,292.0,220.0,12.38,0.999,0.1667,52008.0,19.09
185,2026-05-13,FC_DEL,S2,3596,3432,32,11,1,2,31,9,2,3669.6,3432,0,346.0,290.0,11.83,0.9353,0.0698,63303.8,18.45
186,2026-05-13,FC_DEL,S3,2174,2095,22,8,1,0,21,8,0,2512.0,2095,0,240.0,208.8,10.03,0.834,0.0333,46851.2,22.36
187,2026-05-13,FC_KOL,S1,2208,2030,21,7,1,1,20,6,0,2215.4,2030,0,224.0,187.2,10.84,0.9163,0.0714,36344.0,17.9
188,2026-05-13,FC_KOL,S2,1885,1988,18,7,0,0,18,7,0,2139.9,1988,0,200.0,180.0,11.04,0.929,0.0,33578.0,16.89
189,2026-05-13,FC_KOL,S3,1576,1500,17,6,0,0,17,6,0,1704.5,1500,0,184.0,165.6,9.06,0.88,0.0,32894.4,21.93
190,2026-05-13,FC_MUM,S1,2645,2798,22,8,1,0,21,8,11,2798.6,2798,0,251.0,219.8,12.73,0.9998,0.0333,46205.0,16.51
191,2026-05-13,FC_MUM,S2,2855,2785,25,9,1,0,24,9,0,2891.7,2785,0,272.0,237.6,11.72,0.9631,0.0294,50544.16,18.15
192,2026-05-13,FC_MUM,S3,2133,1956,20,7,2,1,18,6,5,1961.8,1956,0,221.0,177.8,11.0,0.997,0.1111,44276.1,22.64
193,2026-05-13,FC_HYD,S1,2245,2394,18,7,0,6,18,1,36,2145.2,2145,249,236.0,172.8,12.41,0.9999,0.24,42204.0,19.68
194,2026-05-13,FC_HYD,S2,2801,2698,25,9,1,0,24,9,6,3087.8,2698,0,278.0,243.6,11.08,0.8738,0.0294,48255.5,17.89
195,2026-05-13,FC_HYD,S3,1440,1668,13,5,0,0,13,5,17,1672.6,1668,0,161.0,146.6,11.38,0.9973,0.0,31032.1,18.6
196,2026-05-14,FC_BLR,S1,2719,2664,23,8,1,0,22,8,0,2834.4,2664,0,248.0,216.0,12.33,0.9399,0.0323,42832.0,16.08
197,2026-05-14,FC_BLR,S2,2910,3035,27,9,2,1,25,8,1,3040.3,3035,0,289.0,238.6,12.72,0.9983,0.0833,51427.9,16.94
198,2026-05-14,FC_BLR,S3,2013,1910,21,7,3,2,18,5,11,1916.9,1910,0,235.0,176.6,10.82,0.9964,0.1786,45529.0,23.84
199,2026-05-14,FC_DEL,S1,3243,3306,27,10,1,0,26,10,9,3306.4,3306,0,305.0,268.2,12.33,0.9999,0.027,54882.0,16.6
200,2026-05-14,FC_DEL,S2,3210,3186,30,11,0,0,30,11,0,3688.9,3186,0,328.0,295.2,10.79,0.8637,0.0,59970.72,18.82
201,2026-05-14,FC_DEL,S3,2005,2122,18,7,0,0,18,7,14,2122.2,2122,0,214.0,194.0,10.94,0.9999,0.0,43098.0,20.31
202,2026-05-14,FC_KOL,S1,2111,2163,20,7,1,2,19,5,0,2169.7,2163,0,216.0,172.8,12.52,0.9969,0.1111,35096.0,16.23
203,2026-05-14,FC_KOL,S2,2611,2487,26,9,2,2,24,7,0,2616.9,2487,0,280.0,223.2,11.14,0.9504,0.1143,46844.4,18.84
204,2026-05-14,FC_KOL,S3,1641,1624,18,6,2,0,16,6,4,1788.2,1624,0,196.0,162.4,10.0,0.9082,0.0833,35305.6,21.74
205,2026-05-14,FC_MUM,S1,2701,2821,24,9,1,1,23,8,0,2828.2,2821,0,264.0,223.2,12.64,0.9975,0.0606,47688.0,16.9
206,2026-05-14,FC_MUM,S2,2786,3038,27,9,0,2,27,7,18,3044.9,3038,0,306.0,262.8,11.56,0.9977,0.0556,58271.22,19.18
207,2026-05-14,FC_MUM,S3,1791,1940,19,7,3,0,16,7,16,1946.3,1940,0,224.0,181.6,10.68,0.9968,0.1154,45936.0,23.68
208,2026-05-14,FC_HYD,S1,2021,1949,17,6,0,0,17,6,0,2231.7,1949,0,184.0,165.6,11.77,0.8733,0.0,30688.0,15.75
209,2026-05-14,FC_HYD,S2,2451,2502,23,8,0,1,23,7,0,2745.7,2502,0,248.0,216.0,11.58,0.9112,0.0323,42584.32,17.02
210,2026-05-14,FC_HYD,S3,1845,1753,18,7,1,0,17,7,0,2008.5,1753,0,200.0,172.8,10.14,0.8728,0.04,36801.6,20.99
211,2026-05-15,FC_BLR,S1,3407,3122,28,10,3,0,25,10,0,3364.5,3122,0,304.0,252.0,12.39,0.9279,0.0789,52544.0,16.83
212,2026-05-15,FC_BLR,S2,3940,3640,35,12,0,0,35,12,0,4344.7,3640,0,376.0,338.4,10.76,0.8378,0.0,66859.36,18.37
213,2026-05-15,FC_BLR,S3,2774,2453,27,9,0,0,27,9,0,3044.7,2453,0,288.0,259.2,9.46,0.8057,0.0,54648.0,22.28
214,2026-05-15,FC_DEL,S1,3938,3594,35,12,1,1,34,11,0,4086.8,3594,0,376.0,324.0,11.09,0.8794,0.0426,66608.0,18.53
215,2026-05-15,FC_DEL,S2,4076,4203,38,13,2,1,36,12,0,4399.0,4203,0,408.0,345.6,12.16,0.9555,0.0588,74440.16,17.71
216,2026-05-15,FC_DEL,S3,2755,2665,27,10,0,1,27,9,0,2851.5,2665,0,296.0,259.2,10.28,0.9346,0.027,57816.0,21.69
217,2026-05-15,FC_KOL,S1,2512,2530,22,8,2,1,20,7,18,2531.8,2530,0,258.0,212.4,11.91,0.9993,0.1,43288.0,17.11
218,2026-05-15,FC_KOL,S2,2870,2692,27,10,1,0,26,10,0,3173.9,2692,0,296.0,259.2,10.39,0.8482,0.027,49621.28,18.43
219,2026-05-15,FC_KOL,S3,1844,1962,20,7,0,1,20,6,0,2106.1,1962,0,216.0,187.2,10.48,0.9316,0.037,38605.6,19.68
220,2026-05-15,FC_MUM,S1,3347,3322,30,11,5,0,25,11,0,3407.3,3322,0,328.0,259.2,12.82,0.975,0.122,59208.0,17.82
221,2026-05-15,FC_MUM,S2,3620,3539,33,12,2,1,31,11,0,3640.5,3539,0,360.0,302.4,11.7,0.9721,0.0667,66917.04,18.91
222,2026-05-15,FC_MUM,S3,2211,2145,22,8,1,2,21,6,0,2200.4,2145,0,240.0,194.4,11.03,0.9748,0.1,47643.2,22.21
223,2026-05-15,FC_HYD,S1,2408,2564,21,7,0,0,21,7,0,2632.5,2564,0,224.0,201.6,12.72,0.974,0.0,37296.0,14.55
224,2026-05-15,FC_HYD,S2,3396,3307,31,11,0,2,31,9,0,3838.1,3307,0,336.0,288.0,11.48,0.8616,0.0476,57729.44,17.46
225,2026-05-15,FC_HYD,S3,1873,1993,18,6,0,0,18,6,3,2042.4,1993,0,195.0,175.8,11.34,0.9758,0.0,35966.7,18.05
226,2026-05-16,FC_BLR,S1,3607,3395,29,10,1,1,28,9,0,3694.5,3395,0,312.0,266.4,12.74,0.9189,0.0513,53872.0,15.87
227,2026-05-16,FC_BLR,S2,4872,4512,39,18,1,0,38,18,0,4955.1,4512,0,456.0,403.2,11.19,0.9106,0.0175,81823.2,18.13
228,2026-05-16,FC_BLR,S3,2678,2610,26,9,2,0,24,9,0,2752.3,2610,0,280.0,237.6,10.98,0.9483,0.0571,53187.2,20.38
229,2026-05-16,FC_DEL,S1,3159,3374,29,10,0,0,29,10,0,3628.6,3374,0,312.0,280.8,12.02,0.9298,0.0,55280.0,16.38
230,2026-05-16,FC_DEL,S2,4301,4458,39,14,2,2,37,12,0,4481.8,4458,0,424.0,352.8,12.64,0.9947,0.0755,77472.48,17.38
231,2026-05-16,FC_DEL,S3,2595,2725,27,9,1,2,26,7,7,2728.0,2725,0,295.0,244.6,11.14,0.9989,0.0833,58060.2,21.31
232,2026-05-16,FC_KOL,S1,2708,2678,26,9,2,2,24,7,0,2788.4,2678,0,280.0,223.2,12.0,0.9604,0.1143,45480.0,16.98
233,2026-05-16,FC_KOL,S2,3199,2930,31,11,4,1,27,10,0,3401.1,2930,0,336.0,266.4,11.0,0.8615,0.119,56254.48,19.2
234,2026-05-16,FC_KOL,S3,1885,1893,20,7,1,1,19,6,0,1985.3,1893,0,216.0,180.0,10.52,0.9535,0.0741,38605.6,20.39
235,2026-05-16,FC_MUM,S1,3371,3391,29,10,2,2,27,8,12,3394.9,3391,0,324.0,264.0,12.84,0.9989,0.1026,59372.0,17.51
236,2026-05-16,FC_MUM,S2,3417,3668,32,11,0,3,32,8,11,3671.4,3668,0,355.0,299.0,12.27,0.9991,0.0698,66815.07,18.22
237,2026-05-16,FC_MUM,S3,2557,2356,24,9,2,1,22,8,0,2459.1,2356,0,264.0,216.0,10.91,0.9581,0.0909,52456.8,22.27
238,2026-05-16,FC_HYD,S1,2462,2668,20,7,3,0,17,7,36,2605.7,2605,63,252.0,208.8,12.48,0.9997,0.1111,44764.0,17.18
239,2026-05-16,FC_HYD,S2,3359,3405,31,11,2,0,29,11,0,3687.1,3405,0,336.0,288.0,11.82,0.9235,0.0476,57729.44,16.95
240,2026-05-16,FC_HYD,S3,2162,2102,20,7,1,1,19,6,0,2122.9,2102,0,216.0,180.0,11.68,0.9901,0.0741,39617.6,18.85
241,2026-05-17,FC_BLR,S1,2800,2763,23,8,1,0,22,8,0,2874.9,2763,0,248.0,216.0,12.79,0.9611,0.0323,42832.0,15.5
242,2026-05-17,FC_BLR,S2,3968,3576,35,12,0,1,35,11,0,4176.7,3576,0,376.0,331.2,10.8,0.8562,0.0213,66859.36,18.7
243,2026-05-17,FC_BLR,S3,2167,2250,21,7,1,0,20,7,4,2250.9,2250,0,228.0,198.4,11.34,0.9996,0.0357,43604.0,19.38
244,2026-05-17,FC_DEL,S1,3017,3288,27,9,1,2,26,7,35,3295.0,3288,0,323.0,272.6,12.06,0.9979,0.0833,60006.0,18.25
245,2026-05-17,FC_DEL,S2,3294,3567,31,11,0,1,31,10,0,3773.8,3567,0,336.0,295.2,12.08,0.9452,0.0238,61371.52,17.21
246,2026-05-17,FC_DEL,S3,2197,2356,22,8,0,0,22,8,0,2479.4,2356,0,240.0,216.0,10.91,0.9502,0.0,46851.2,19.89
247,2026-05-17,FC_KOL,S1,2146,2140,19,7,0,1,19,6,0,2209.8,2140,0,208.0,180.0,11.89,0.9684,0.0385,33848.0,15.82
248,2026-05-17,FC_KOL,S2,2552,2666,24,9,1,0,23,9,0,2904.6,2666,0,264.0,230.4,11.57,0.9178,0.0303,44273.52,16.61
249,2026-05-17,FC_KOL,S3,1894,1664,18,7,1,0,17,7,0,1904.3,1664,0,200.0,172.8,9.63,0.8738,0.04,35860.0,21.55
250,2026-05-17,FC_MUM,S1,2806,2760,24,9,0,0,24,9,0,3055.6,2760,0,264.0,237.6,11.62,0.9033,0.0,47688.0,17.28
251,2026-05-17,FC_MUM,S2,3467,3319,32,11,0,0,32,11,0,3916.5,3319,0,344.0,309.6,10.72,0.8474,0.0,63835.28,19.23
252,2026-05-17,FC_MUM,S3,1920,2124,19,7,2,1,17,6,31,2124.8,2124,0,239.0,196.6,10.8,0.9996,0.1154,50275.5,23.67
253,2026-05-17,FC_HYD,S1,2465,2364,21,8,4,1,17,7,18,2364.5,2364,0,250.0,190.8,12.39,0.9998,0.1724,43158.0,18.26
254,2026-05-17,FC_HYD,S2,2709,2589,24,9,1,0,23,9,0,2903.6,2589,0,264.0,230.4,11.24,0.8917,0.0303,45435.36,17.55
255,2026-05-17,FC_HYD,S3,1318,1514,12,4,1,0,11,4,29,1522.3,1514,0,157.0,137.0,11.05,0.9945,0.0625,31194.9,20.6
256,2026-05-18,FC_BLR,S1,2580,2450,22,8,1,1,21,7,0,2719.3,2450,0,240.0,201.6,12.15,0.901,0.0667,41504.0,16.94
257,2026-05-18,FC_BLR,S2,2902,2931,25,9,2,0,23,9,0,2945.3,2931,0,272.0,230.4,12.72,0.9951,0.0588,48434.72,16.52
258,2026-05-18,FC_BLR,S3,2061,1935,20,7,2,0,18,7,0,2317.8,1935,0,216.0,180.0,10.75,0.8348,0.0741,41043.2,21.21
259,2026-05-18,FC_DEL,S1,2820,2663,25,9,1,1,24,8,0,3056.3,2663,0,272.0,230.4,11.56,0.8713,0.0588,48256.0,18.12
260,2026-05-18,FC_DEL,S2,3062,3037,27,10,2,2,25,8,0,3054.5,3037,0,296.0,237.6,12.78,0.9943,0.1081,54136.8,17.83
261,2026-05-18,FC_DEL,S3,1703,1867,18,6,0,0,18,6,3,2027.4,1867,0,195.0,175.8,10.62,0.9209,0.0,38233.8,20.48
262,2026-05-18,FC_KOL,S1,1676,1986,15,5,0,2,15,3,35,1988.9,1986,0,195.0,164.6,12.07,0.9985,0.1,34220.0,17.23
263,2026-05-18,FC_KOL,S2,1918,2159,17,6,0,0,17,6,21,2166.1,2159,0,205.0,186.6,11.57,0.9967,0.0,35905.8,16.63
264,2026-05-18,FC_KOL,S3,1181,1242,13,4,1,0,12,4,5,1344.4,1242,0,141.0,120.2,10.33,0.9238,0.0588,25515.6,20.54
265,2026-05-18,FC_MUM,S1,2338,2426,19,7,1,1,18,6,16,2434.3,2426,0,224.0,188.8,12.85,0.9966,0.0769,41760.0,17.21
266,2026-05-18,FC_MUM,S2,2726,2800,26,9,2,1,24,8,0,3013.4,2800,0,280.0,230.4,12.15,0.9292,0.0857,51969.68,18.56
267,2026-05-18,FC_MUM,S3,1718,1706,16,6,2,2,14,4,15,1714.4,1706,0,191.0,144.6,11.8,0.9951,0.1818,39310.7,23.04
268,2026-05-18,FC_HYD,S1,2183,2147,18,7,1,0,17,7,0,2177.5,2147,0,200.0,172.8,12.42,0.986,0.04,33456.0,15.58
269,2026-05-18,FC_HYD,S2,2461,2501,23,8,1,2,22,6,4,2501.7,2501,0,252.0,205.6,12.16,0.9997,0.0968,43585.48,17.43
270,2026-05-18,FC_HYD,S3,1532,1613,16,5,0,0,16,5,0,1826.5,1613,0,168.0,151.2,10.67,0.8831,0.0,30712.0,19.04
271,2026-05-19,FC_BLR,S1,2535,2520,21,7,0,1,21,6,1,2528.7,2520,0,225.0,195.4,12.9,0.9966,0.0357,38890.0,15.43
272,2026-05-19,FC_BLR,S2,3143,2822,27,10,4,0,23,10,0,3008.0,2822,0,296.0,237.6,11.88,0.9382,0.1081,52752.48,18.69
273,2026-05-19,FC_BLR,S3,1811,1801,17,6,1,1,16,5,7,1807.7,1801,0,191.0,158.2,11.38,0.9963,0.087,36896.2,20.49
274,2026-05-19,FC_DEL,S1,3002,3119,26,9,2,0,24,9,0,3181.6,3119,0,280.0,237.6,13.13,0.9803,0.0571,49616.0,15.91
275,2026-05-19,FC_DEL,S2,3329,3310,29,10,1,3,28,7,13,3315.0,3310,0,325.0,265.0,12.49,0.9985,0.1026,60393.02,18.25
276,2026-05-19,FC_DEL,S3,1925,2035,19,7,1,0,18,7,0,2113.6,2035,0,208.0,180.0,11.31,0.9628,0.0385,40620.8,19.96
277,2026-05-19,FC_KOL,S1,2194,2169,21,8,1,1,20,7,0,2365.1,2169,0,232.0,194.4,11.16,0.9171,0.069,37792.0,17.42
278,2026-05-19,FC_KOL,S2,2172,2222,19,7,0,1,19,6,4,2230.4,2222,0,212.0,184.0,12.08,0.9962,0.0385,35835.76,16.13
279,2026-05-19,FC_KOL,S3,1312,1435,13,5,0,0,13,5,0,1445.9,1435,0,144.0,129.6,11.07,0.9924,0.0,25810.4,17.99
280,2026-05-19,FC_MUM,S1,2272,2537,19,7,1,0,18,7,15,2547.1,2537,0,223.0,195.0,13.01,0.996,0.0385,41497.0,16.36
281,2026-05-19,FC_MUM,S2,2870,2792,26,9,0,1,26,8,0,2894.9,2792,0,280.0,244.8,11.41,0.9644,0.0286,51969.68,18.61
282,2026-05-19,FC_MUM,S3,2109,1920,21,7,2,0,19,7,0,2051.9,1920,0,224.0,187.2,10.26,0.9357,0.0714,44352.0,23.1
283,2026-05-19,FC_HYD,S1,2507,2236,21,7,1,3,20,4,2,2239.1,2236,0,226.0,174.8,12.79,0.9986,0.1429,37782.0,16.9
284,2026-05-19,FC_HYD,S2,2225,2491,20,7,2,0,18,7,27,2494.6,2491,0,243.0,207.0,12.03,0.9986,0.0741,43854.31,17.61
285,2026-05-19,FC_HYD,S3,1647,1612,16,6,1,0,15,6,0,1779.4,1612,0,176.0,151.2,10.66,0.9059,0.0455,32348.8,20.07
286,2026-05-20,FC_BLR,S1,2577,2674,21,7,1,1,20,6,25,2675.7,2674,0,249.0,212.2,12.6,0.9994,0.0714,44890.0,16.79
287,2026-05-20,FC_BLR,S2,3296,3231,28,10,0,1,28,9,0,3344.1,3231,0,304.0,266.4,12.13,0.9662,0.0263,54120.32,16.75
288,2026-05-20,FC_BLR,S3,1917,1836,20,7,1,2,19,5,0,2125.8,1836,0,216.0,172.8,10.62,0.8637,0.1111,41043.2,22.35
289,2026-05-20,FC_DEL,S1,3024,3087,27,9,4,1,23,8,21,3090.6,3087,0,309.0,244.2,12.64,0.9988,0.1389,56394.0,18.27
290,2026-05-20,FC_DEL,S2,3388,3347,30,10,0,0,30,10,0,3492.7,3347,0,320.0,288.0,11.62,0.9583,0.0,58339.2,17.43
291,2026-05-20,FC_DEL,S3,2188,2168,21,8,1,2,20,6,1,2173.8,2168,0,233.0,188.2,11.52,0.9973,0.1034,45639.0,21.05
292,2026-05-20,FC_KOL,S1,1953,1918,18,6,0,0,18,6,0,2092.2,1918,0,192.0,172.8,11.1,0.9167,0.0,31152.0,16.24
293,2026-05-20,FC_KOL,S2,2156,2430,21,7,1,0,20,7,9,2434.7,2430,0,233.0,203.4,11.95,0.9981,0.0357,39622.04,16.31
294,2026-05-20,FC_KOL,S3,1524,1495,16,5,1,0,15,5,0,1586.8,1495,0,168.0,144.0,10.38,0.9421,0.0476,29928.8,20.02
295,2026-05-20,FC_MUM,S1,2621,2615,23,8,3,0,20,8,14,2618.6,2615,0,262.0,215.6,12.13,0.9986,0.0968,48378.0,18.5
296,2026-05-20,FC_MUM,S2,2824,2842,25,9,1,0,24,9,0,2848.4,2842,0,272.0,237.6,11.96,0.9977,0.0294,50544.16,17.78
297,2026-05-20,FC_MUM,S3,1858,1910,20,7,0,1,20,6,0,2087.6,1910,0,216.0,187.2,10.2,0.9149,0.037,42829.6,22.42
298,2026-05-20,FC_HYD,S1,2377,2342,21,8,3,1,18,7,6,2350.3,2342,0,238.0,186.0,12.59,0.9965,0.1379,40242.0,17.18
299,2026-05-20,FC_HYD,S2,2724,2589,24,9,2,0,22,9,0,2823.1,2589,0,264.0,223.2,11.6,0.9171,0.0606,45435.36,17.55
300,2026-05-20,FC_HYD,S3,1542,1587,16,5,0,0,16,5,0,1797.7,1587,0,168.0,151.2,10.5,0.8828,0.0,30712.0,19.35
301,2026-05-21,FC_BLR,S1,2881,2869,23,8,2,0,21,8,10,2876.1,2869,0,258.0,218.8,13.11,0.9975,0.0645,45332.0,15.8
302,2026-05-21,FC_BLR,S2,2698,2823,24,8,3,0,21,8,8,2831.0,2823,0,264.0,216.8,13.02,0.9972,0.0938,47544.8,16.84
303,2026-05-21,FC_BLR,S3,1949,1940,18,7,2,0,16,7,7,1942.3,1940,0,207.0,172.6,11.24,0.9988,0.08,40046.6,20.64
304,2026-05-21,FC_DEL,S1,3178,2923,27,9,4,1,23,8,4,2925.6,2923,0,292.0,227.2,12.87,0.9991,0.1389,52008.0,17.79
305,2026-05-21,FC_DEL,S2,3969,3534,36,13,2,0,34,13,0,4183.0,3534,0,392.0,338.4,10.44,0.8448,0.0408,71638.56,20.27
306,2026-05-21,FC_DEL,S3,2357,2243,24,8,0,0,24,8,0,2785.2,2243,0,256.0,230.4,9.74,0.8053,0.0,49843.2,22.22
307,2026-05-21,FC_KOL,S1,2290,2289,21,7,0,0,21,7,0,2416.8,2289,0,224.0,201.6,11.35,0.9471,0.0,36344.0,15.88
308,2026-05-21,FC_KOL,S2,2219,2408,21,8,1,0,20,8,8,2414.2,2408,0,240.0,209.6,11.49,0.9974,0.0345,40870.4,16.97
309,2026-05-21,FC_KOL,S3,1243,1495,13,4,0,1,13,3,24,1497.0,1495,0,160.0,139.2,10.74,0.9987,0.0588,30448.0,20.37
310,2026-05-21,FC_MUM,S1,2825,2736,24,9,2,1,22,8,12,2736.0,2736,0,276.0,228.0,12.0,1.0,0.0909,50844.0,18.58
311,2026-05-21,FC_MUM,S2,3239,3164,29,10,3,0,26,10,20,3164.2,3164,0,332.0,279.2,11.33,0.9999,0.0769,63320.28,20.01
312,2026-05-21,FC_MUM,S3,1975,1989,18,7,0,0,18,7,6,2104.4,1989,0,206.0,186.0,10.69,0.9452,0.0,41520.6,20.88
313,2026-05-21,FC_HYD,S1,2593,2409,22,8,1,0,21,8,0,2582.6,2409,0,240.0,208.8,11.54,0.9328,0.0333,40064.0,16.63
314,2026-05-21,FC_HYD,S2,2488,2555,23,8,0,1,23,7,0,2682.9,2555,0,248.0,216.0,11.83,0.9523,0.0323,42584.32,16.67
315,2026-05-21,FC_HYD,S3,1940,1754,20,7,1,0,19,7,6,2179.8,1754,0,222.0,193.2,9.08,0.8047,0.037,41221.4,23.5
316,2026-05-22,FC_BLR,S1,3153,2841,26,9,1,1,25,8,0,3021.0,2841,0,280.0,237.6,11.96,0.9404,0.0571,48352.0,17.02
317,2026-05-22,FC_BLR,S2,3822,3610,35,12,2,1,33,11,0,3910.2,3610,0,376.0,316.8,11.4,0.9232,0.0638,66859.36,18.52
318,2026-05-22,FC_BLR,S3,2226,2245,21,7,1,0,20,7,0,2252.0,2245,0,224.0,194.4,11.55,0.9969,0.0357,42504.0,18.93
319,2026-05-22,FC_DEL,S1,3548,3310,30,11,2,0,28,11,0,3523.5,3310,0,328.0,280.8,11.79,0.9394,0.0488,58224.0,17.59
320,2026-05-22,FC_DEL,S2,3436,3571,30,11,3,2,27,9,22,3571.4,3571,0,350.0,281.2,12.7,0.9999,0.122,65817.0,18.43
321,2026-05-22,FC_DEL,S3,2491,2328,25,9,2,1,23,8,0,2632.7,2328,0,272.0,223.2,10.43,0.8843,0.0882,53081.6,22.8
322,2026-05-22,FC_KOL,S1,2078,2209,18,6,0,0,18,6,18,2212.1,2209,0,210.0,190.8,11.58,0.9986,0.0,35400.0,16.03
323,2026-05-22,FC_KOL,S2,2948,2799,28,10,0,1,28,9,0,3414.7,2799,0,304.0,266.4,10.51,0.8197,0.0263,50906.72,18.19
324,2026-05-22,FC_KOL,S3,1506,1543,17,6,3,0,14,6,0,1655.1,1543,0,184.0,144.0,10.72,0.9322,0.1304,32894.4,21.32
325,2026-05-22,FC_MUM,S1,2849,3037,24,9,1,0,23,9,18,3043.9,3037,0,282.0,248.4,12.23,0.9977,0.0303,52422.0,17.26
326,2026-05-22,FC_MUM,S2,3370,3337,30,11,0,0,30,11,0,3706.7,3337,0,328.0,295.2,11.3,0.9003,0.0,60984.24,18.28
327,2026-05-22,FC_MUM,S3,1929,1924,20,7,0,0,20,7,0,2133.4,1924,0,216.0,194.4,9.9,0.9018,0.0,42829.6,22.26
328,2026-05-22,FC_HYD,S1,2654,2408,22,8,2,2,20,6,4,2456.3,2408,0,244.0,191.2,12.59,0.9803,0.1333,41036.0,17.04
329,2026-05-22,FC_HYD,S2,2697,2735,24,8,2,1,22,7,4,2739.3,2735,0,260.0,212.8,12.85,0.9984,0.0938,44903.88,16.42
330,2026-05-22,FC_HYD,S3,1945,1717,18,7,0,2,18,5,0,1843.0,1717,0,200.0,165.6,10.37,0.9316,0.08,36801.6,21.43
331,2026-05-23,FC_BLR,S1,3554,3353,30,10,1,0,29,10,0,3718.4,3353,0,320.0,280.8,11.94,0.9017,0.025,55200.0,16.46
332,2026-05-23,FC_BLR,S2,3824,3837,35,12,1,1,34,11,0,4169.4,3837,0,376.0,324.0,11.84,0.9203,0.0426,66859.36,17.42
333,2026-05-23,FC_BLR,S3,2327,2243,23,8,4,1,19,7,0,2335.3,2243,0,248.0,187.2,11.98,0.9605,0.1613,47115.2,21.01
334,2026-05-23,FC_DEL,S1,3196,3178,28,10,1,1,27,9,0,3346.9,3178,0,304.0,259.2,12.26,0.9495,0.0526,53920.0,16.97
335,2026-05-23,FC_DEL,S2,3638,3880,33,11,0,2,33,9,23,3885.6,3880,0,375.0,325.4,11.92,0.9986,0.0455,70285.14,18.11
336,2026-05-23,FC_DEL,S3,2492,2658,25,9,0,0,25,9,0,2812.5,2658,0,272.0,244.8,10.86,0.9451,0.0,53081.6,19.97
337,2026-05-23,FC_KOL,S1,2486,2443,22,8,1,0,21,8,0,2700.8,2443,0,240.0,208.8,11.7,0.9046,0.0333,39040.0,15.98
338,2026-05-23,FC_KOL,S2,2442,2708,24,8,1,2,23,6,21,2716.8,2708,0,277.0,229.8,11.78,0.9968,0.0938,47886.76,17.68
339,2026-05-23,FC_KOL,S3,1863,1749,20,7,2,1,18,6,0,1901.1,1749,0,216.0,172.8,10.12,0.92,0.1111,38605.6,22.07
340,2026-05-23,FC_MUM,S1,3140,3225,28,10,0,1,28,9,0,3285.2,3225,0,304.0,266.4,12.11,0.9817,0.0263,54832.0,17.0
341,2026-05-23,FC_MUM,S2,3415,3500,30,11,0,0,30,11,0,3809.6,3500,0,328.0,295.2,11.86,0.9187,0.0,60984.24,17.42
342,2026-05-23,FC_MUM,S3,2247,2522,21,8,2,0,19,8,36,2425.4,2425,97,268.0,230.4,10.53,0.9999,0.069,56535.6,23.31
343,2026-05-23,FC_HYD,S1,2280,2539,21,7,1,1,20,6,16,2547.4,2539,0,240.0,203.2,12.5,0.9967,0.0714,41184.0,16.22
344,2026-05-23,FC_HYD,S2,3159,3153,28,10,3,2,25,8,15,3159.1,3153,0,319.0,252.6,12.48,0.9981,0.1316,55995.95,17.76
345,2026-05-23,FC_HYD,S3,2074,1956,21,7,1,1,20,6,0,2161.5,1956,0,224.0,187.2,10.45,0.9049,0.0714,41025.6,20.97
